product_id,product_name,brand,model_series,ram_capacity,rom_capacity,original_price,sale_price,stock_status,product_status,source_site,crawl_date
PROD_CEL_100076,Dien thoai Realme Realme Note 50 4GB/64GB - Moi 100%,Realme,Realme Note 50,4GB,64GB,37250000.0,36750000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_CEL_100077,Dien thoai Vivo Y100 8GB/256GB - Moi 100%,Vivo,Y100,8GB,256GB,40740000.0,39740000.0,Het hang,Moi 100%,CellphoneS,2026-06-11
PROD_TGD_100078,Dien thoai Xiaomi Poco X6 Pro 12GB/256GB - Moi 100%,Xiaomi,Poco X6 Pro,12GB,256GB,35930000.0,34930000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_CEL_100079,Dien thoai Vivo X100 Pro 4GB/512GB - Moi 100%,Vivo,X100 Pro,4GB,512GB,32260000.0,31760000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_TGD_100080,Dien thoai Xiaomi Xiaomi 14 12GB/512GB - Moi 100%,Xiaomi,Xiaomi 14,12GB,512GB,,33960000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_CEL_100081,Dien thoai Samsung Galaxy S24 Ultra 4GB/256GB - Moi 100%,Samsung,Galaxy S24 Ultra,4GB,256GB,35000000.0,34500000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_CEL_100082,Dien thoai Vivo Y100 6GB/64GB - Moi 100%,Vivo,Y100,6GB,64GB,37790000.0,37290000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_TGD_100083,Dien thoai Realme Realme 12 Rest 16GB/64GB - Moi 100%,Realme,Realme 12 Rest,16GB,64GB,31140000.0,29140000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_TGD_100084,Dien thoai Xiaomi Redmi Note 13 6GB/256GB - Moi 100%,Xiaomi,Redmi Note 13,6GB,256GB,43310000.0,42310000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_TGD_100085,Dien thoai Realme Realme C65 6GB/1TB - Moi 100%,Realme,Realme C65,6GB,1TB,33030000.0,31030000.0,Het hang,Moi 100%,TGDD,2026-06-11
PROD_CEL_100086,Dien thoai Oppo Find N3 Flip 16GB/512GB - Moi 100%,Oppo,Find N3 Flip,16GB,512GB,43650000.0,43650000.0,Het hang,Moi 100%,CellphoneS,2026-06-11
PROD_TGD_100087,Dien thoai Xiaomi Poco X6 Pro 6GB/128GB - Moi 100%,Xiaomi,Poco X6 Pro,6GB,128GB,32380000.0,32380000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_TGD_100088,Dien thoai Apple iPhone 15 Pro Max 8GB/64GB - Moi 100%,Apple,iPhone 15 Pro Max,8GB,64GB,42370000.0,40370000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_CEL_100089,Dien thoai Xiaomi Xiaomi 14 16GB/256GB - Moi 100%,Xiaomi,Xiaomi 14,16GB,256GB,42340000.0,42340000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_CEL_100090,Dien thoai Vivo Y100 6GB/512GB - Moi 100%,vivo,Y100,6GB,512GB,40870000.0,,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_CEL_100091,Dien thoai Samsung Galaxy S24 Ultra 8GB/512GB - Moi 100%,Samsung,Galaxy S24 Ultra,8GB,512GB,37630000.0,37130000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_CEL_100092,Dien thoai Xiaomi Redmi Note 13 6GB/256GB - Moi 100%,Xiaomi,Redmi Note 13,6GB,256GB,42810000.0,42810000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_TGD_100093,Dien thoai Realme Realme C65 8GB/1TB - Moi 100%,Realme,Realme C65,8GB,1TB,39320000.0,37320000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_CEL_100094,Dien thoai Samsung Galaxy A55 12GB/128GB - Moi 100%,Samsung,Galaxy A55,12GB,128GB,32910000.0,31910000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_CEL_100095,Dien thoai Xiaomi Xiaomi 14 6GB/64GB - Moi 100%,Xiaomi,Xiaomi 14,6GB,64GB,37550000.0,37550000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_CEL_100096,Dien thoai Realme Realme 12 Rest 12GB/64GB - Moi 100%,Realme,Realme 12 Rest,12GB,64GB,43940000.0,43440000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_CEL_100097,Dien thoai Xiaomi Redmi Note 13 12GB/512GB - Moi 100%,Xiaomi,Redmi Note 13,12GB,512GB,34020000.0,32020000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_TGD_100098,Dien thoai Vivo X100 Pro 8GB/128GB - Moi 100%,Vivo,X100 Pro,8GB,128GB,30480000.0,29480000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_TGD_100099,Dien thoai Realme Realme C65 16GB/1TB - Moi 100%,Realme,Realme C65,16GB,1TB,37730000.0,37230000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_TGD_100100,Dien thoai Samsung Galaxy Z Fold6 6GB/512GB - Moi 100%,Samsung,Galaxy Z Fold6,6GB,512GB,39770000.0,39270000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_TGD_100101,Dien thoai Samsung Galaxy S24 Ultra 8GB/128GB - Moi 100%,Samsung,Galaxy S24 Ultra,8GB,128GB,39080000.0,38580000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_TGD_100102,Dien thoai Oppo A78 12GB/128GB - Moi 100%,Oppo,A78,12GB,128GB,32450000.0,31450000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_TGD_100103,Dien thoai Samsung Galaxy Z Fold6 16GB/64GB - Moi 100%,Samsung,Galaxy Z Fold6,16GB,64GB,38840000.0,38840000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_CEL_100104,Dien thoai Apple iPhone 13 12GB/512GB - Moi 100%,Apple,iPhone 13,12GB,512GB,42180000.0,41180000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_TGD_100105,Dien thoai Xiaomi Redmi Note 13 8GB/512GB - Moi 100%,xiaomi,Redmi Note 13,8GB,512GB,34380000.0,34380000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_TGD_100106,Dien thoai Realme Realme 12 Rest 8GB/1TB - Moi 100%,Realme,Realme 12 Rest,8GB,1TB,41590000.0,41590000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_CEL_100107,Dien thoai Samsung Galaxy A55 12GB/128GB - Moi 100%,Samsung,Galaxy A55,12GB,128GB,36050000.0,36050000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_TGD_100108,Dien thoai Realme Realme Note 50 6GB/1TB - Moi 100%,Realme,Realme Note 50,6GB,1TB,38270000.0,37770000.0,Het hang,Moi 100%,TGDD,2026-06-11
PROD_TGD_100109,Dien thoai Oppo Find N3 Flip 6GB/128GB - Moi 100%,Oppo,Find N3 Flip,6GB,128GB,38160000.0,37160000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_CEL_100110,Dien thoai Oppo Find N3 Flip 8GB/1TB - Moi 100%,Oppo,Find N3 Flip,8GB,1TB,42320000.0,41320000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_CEL_100111,Dien thoai Apple iPhone 14 Pro 16GB/128GB - Moi 100%,Apple,iPhone 14 Pro,16GB,128GB,31880000.0,31880000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_CEL_100112,Dien thoai Apple iPhone 13 16GB/64GB - Moi 100%,Apple,iPhone 13,16GB,64GB,33430000.0,32930000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_CEL_100113,Dien thoai Xiaomi Xiaomi 14 8GB/256GB - Moi 100%,Xiaomi,Xiaomi 14,8GB,256GB,34710000.0,34210000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_CEL_100114,Dien thoai Oppo Reno11 F 12GB/512GB - Moi 100%,Oppo,Reno11 F,12GB,512GB,41840000.0,40840000.0,Het hang,Moi 100%,CellphoneS,2026-06-11
PROD_TGD_100115,Dien thoai Oppo Find N3 Flip 4GB/256GB - Moi 100%,Oppo,Find N3 Flip,4GB,256GB,40090000.0,39090000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_TGD_100116,Dien thoai Vivo X100 Pro 4GB/64GB - Moi 100%,Vivo,X100 Pro,4GB,64GB,32410000.0,30410000.0,Het hang,Moi 100%,TGDD,2026-06-11
PROD_CEL_100117,Dien thoai Apple iPhone 15 Pro Max 6GB/512GB - Moi 100%,Apple,iPhone 15 Pro Max,6GB,512GB,40640000.0,40640000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_TGD_100118,Dien thoai Xiaomi Poco X6 Pro 4GB/1TB - Moi 100%,Xiaomi,Poco X6 Pro,4GB,1TB,32750000.0,30750000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_TGD_100119,Dien thoai Samsung Galaxy A55 6GB/64GB - Moi 100%,Samsung,Galaxy A55,6GB,64GB,34710000.0,34710000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_CEL_100120,Dien thoai Realme Realme C65 12GB/64GB - Moi 100%,realme,Realme C65,12GB,64GB,40580000.0,39580000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_CEL_100121,Dien thoai Apple iPhone 14 Pro 12GB/1TB - Moi 100%,Apple,iPhone 14 Pro,12GB,1TB,40950000.0,40950000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_CEL_100122,Dien thoai Samsung Galaxy Z Fold6 4GB/256GB - Moi 100%,Samsung,Galaxy Z Fold6,4GB,256GB,32620000.0,31620000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_TGD_100123,Dien thoai Realme Realme C65 12GB/256GB - Moi 100%,Realme,Realme C65,12GB,256GB,44350000.0,42350000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_CEL_100124,Dien thoai Apple iPhone 13 12GB/512GB - Hang trung bay,Apple,iPhone 13,12GB,512GB,36930000.0,34930000.0,Con hang,Hang trung bay,CellphoneS,2026-06-11
PROD_TGD_100125,Dien thoai Xiaomi Redmi Note 13 12GB/128GB - Moi 100%,Xiaomi,Redmi Note 13,12GB,128GB,40960000.0,38960000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_CEL_100126,Dien thoai Xiaomi Redmi Note 13 16GB/512GB - Moi 100%,Xiaomi,Redmi Note 13,16GB,512GB,44080000.0,44080000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_CEL_100127,Dien thoai Vivo V30 5G 4GB/128GB - Moi 100%,Vivo,V30 5G,4GB,128GB,30160000.0,29160000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_CEL_100128,Dien thoai Xiaomi Redmi Note 13 12GB/128GB - Da kich hoat,Xiaomi,Redmi Note 13,12GB,128GB,42000000.0,41500000.0,Con hang,Da kich hoat,CellphoneS,2026-06-11
PROD_TGD_100129,Dien thoai Realme Realme 12 Rest 12GB/128GB - Moi 100%,Realme,Realme 12 Rest,12GB,128GB,42220000.0,42220000.0,Het hang,Moi 100%,TGDD,2026-06-11
PROD_TGD_100130,Dien thoai Xiaomi Poco X6 Pro 8GB/1TB - Moi 100%,Xiaomi,Poco X6 Pro,8GB,1TB,39980000.0,39480000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_CEL_100131,Dien thoai Apple iPhone 14 Pro 4GB/512GB - Moi 100%,Apple,iPhone 14 Pro,4GB,512GB,36430000.0,36430000.0,Het hang,Moi 100%,CellphoneS,2026-06-11
PROD_CEL_100132,Dien thoai Realme Realme 12 Rest 6GB/128GB - Moi 100%,Realme,Realme 12 Rest,6GB,128GB,37160000.0,35160000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_TGD_100133,Dien thoai Oppo Find N3 Flip 6GB/1TB - Hang trung bay,Oppo,Find N3 Flip,6GB,1TB,32220000.0,32220000.0,Con hang,Hang trung bay,TGDD,2026-06-11
PROD_CEL_100134,Dien thoai Samsung Galaxy A55 16GB/1TB - Moi 100%,Samsung,Galaxy A55,16GB,1TB,36440000.0,34440000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_TGD_100135,Dien thoai Oppo Find N3 Flip 12GB/64GB - Moi 100%,oppo,Find N3 Flip,12GB,64GB,37080000.0,,Con hang,Moi 100%,TGDD,2026-06-11
